Time,BS_ID,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_LOC_X,UE_LOC_Y,MAX_DR,DEMAND_DR,REAL_DR,BS_Tran_SNR,UE_Rec_SNR
1,1,8.66025,5,1,120,85,8.24702,5.0501,0,74,7.47745,5.2024,160,114,114,2.06995e-13,6.20984e-13
1,1,8.66025,5,2,240,99,8.87041,4.58999,0,75,8.54711,1.82631,136,3,3,2.54472e-14,7.63415e-14
1,1,8.66025,5,2,240,98,8.2001,4.97699,0,76,10.174,1.99536,133,85,85,2.17036e-14,6.51107e-14
1,1,8.66025,5,2,240,97,8.8637,4.59386,0,77,7.46812,4.8628,160,16,16,2.06995e-13,6.20984e-13
1,1,8.66025,5,2,240,96,8.20681,4.97312,0,78,6.97608,4.17444,158,27,27,9.75245e-14,2.92574e-13
1,1,8.66025,5,2,240,95,8.857,4.59773,0,79,10.3314,0.858727,115,85,85,1.03216e-14,3.09649e-14
1,1,8.66025,5,2,240,94,8.21351,4.96925,0,80,8.86209,2.91248,156,25,25,7.57731e-14,2.27319e-13
1,1,8.66025,5,2,240,93,8.8503,4.6016,0,81,4.25944,3.95432,114,82,82,1.00052e-14,3.00155e-14
1,1,8.66025,5,2,240,92,8.22021,4.96538,0,82,9.37288,2.79027,152,129,129,5.90533e-14,1.7716e-13
1,1,8.66025,5,2,240,91,8.84359,4.60547,0,83,5.75948,3.17839,132,73,73,2.06605e-14,6.19814e-14
1,1,8.66025,5,2,240,90,8.22691,4.96151,0,84,8.0054,3.99443,160,68,68,2.06995e-13,6.20984e-13
1,1,8.66025,5,2,240,89,8.83689,4.60934,0,85,9.11845,3.89092,160,156,156,2.06995e-13,6.20984e-13
1,1,8.66025,5,2,240,88,8.23362,4.95764,0,86,9.02647,2.74826,153,76,76,6.17273e-14,1.85182e-13
1,1,8.66025,5,2,240,87,8.83019,4.61321,0,87,7.58721,4.46282,160,93,93,2.06995e-13,6.20984e-13
1,1,8.66025,5,2,240,86,8.24032,4.95377,0,88,8.76067,2.89136,155,44,44,7.4606e-14,2.23818e-13
1,1,8.66025,5,2,240,85,8.82349,4.61708,0,89,4.48099,4.94334,119,63,63,1.21739e-14,3.65218e-14
